,Label,ID,Attributes
0,customer,33736,"['F' 'Nadia' 'Scheel' 'Cabo Verde' 'Cabo Verde'
 'Production assistant, television' 'Single' 'PHD holder' 92]"
1,customer,42959,"['M' 'Eric' 'David' 'Dominica' 'Italy'
 'Scientist, clinical (histocompatibility and immunogenetics)' 'Married'
 'PHD holder' 39]"
2,customer,50653,"['F' 'Alessia' 'Villegas' 'Virgin Islands, British'
 'Virgin Islands, British' 'directeur de golf' 'Divorced' 'PHD holder' 43]"
3,customer,82485,"['M' 'Alexei' 'Wulf' 'Samoa' 'Samoa' 'Scientist, audiological' 'Divorced'
 'Bachelor holder' 54]"
4,customer,56609,"['F' 'Brenda' 'Fox' 'Poland' 'Poland' 'actuaire' 'Widow' 'Bachelor holder'
 83]"
5,customer,45986,"['F' 'Evangelista' 'Campbell' 'United Kingdom' 'United Kingdom'
 'Seismic interpreter' 'Widow' 'Masters holder' 81]"
6,customer,58600,"['M' 'Daniel' 'Young' 'Chile' 'Chile' 'Education administrator' 'Single'
 'Bachelor holder' 23]"
7,customer,55976,"['F' 'Georgia' 'Valier' 'Poland' 'France' 'Biomedical scientist'
 'Divorced' 'Masters holder' 63]"
8,customer,32433,"['M' 'Scott' 'Reid' 'Slovakia' 'Slovakia' 'IT consultant' 'Widow'
 'PHD holder' 81]"
9,customer,14142,"['F' 'Sylwia' 'Ladeck' 'Lithuania' 'Lithuania' 'Mechaniker' 'Single'
 'Bachelor holder' 50]"
10,customer,49539,"['F' 'Marta' 'Bradley' 'Tanzania, United Republic of'
 'Tanzania, United Republic of' 'Bankkaufmann' 'Divorced'
 'Bachelor holder' 75]"
11,customer,31548,"['M' 'Martin' 'Velasquez' 'Afghanistan' 'Afghanistan'
 'Advertising copywriter' 'Widow' 'High school' 44]"
12,customer,22043,"['M' 'Matthew' 'Oderwald' 'Russian Federation' 'United States'
 'Maintenance engineer' 'Married' 'Bachelor holder' 22]"
13,customer,44945,"['M' 'Thomas' 'Masse' 'Brazil' 'Germany' 'Geneticist, molecular'
 'Divorced' 'PHD holder' 95]"
14,customer,14574,"['M' 'Jens-Uwe' 'Descamps' 'Hong Kong' 'United States'
 'Horticulturist, amenity' 'Divorced' 'Bachelor holder' 63]"
15,customer,36708,"['M' 'Samuel' 'Drubin' 'Grenada' 'Germany' 'Koreanistiker' 'Widow'
 'Masters holder' 19]"
16,customer,25357,"['F' 'Emma' 'Nicholson' 'Pitcairn' 'Germany' 'Scientist, physiological'
 'Single' 'Bachelor holder' 93]"
17,customer,48071,"['F' 'Sheila' 'Baroffio' 'Sweden' 'Sweden'
 'Tourist information centre manager' 'Single' 'Masters holder' 33]"
18,customer,35953,"['M' 'Arnulf' 'Jenkins' 'Faroe Islands' 'Faroe Islands'
 'Teacher, early years/pre' 'Divorced' 'Masters holder' 85]"
19,customer,42770,"['M' 'Roberto' 'Menard' 'Faroe Islands' 'Faroe Islands'
 'Broadcast presenter' 'Widow' 'Bachelor holder' 39]"
20,customer,30824,"['M' 'Roland' 'Rossini' 'Faroe Islands' 'Faroe Islands'
 'biologiste médical' 'Married' 'High school' 56]"
21,customer,33597,"['M' 'Neil' 'Reichmann' 'Gabon' 'Gabon' 'Cartographer' 'Widow'
 'Masters holder' 95]"
22,customer,22036,"['M' 'Auguste' 'Moretti' 'Holy See (Vatican City State)'
 'Holy See (Vatican City State)' 'commercial export' 'Married'
 'High school' 70]"
23,customer,55905,"['M' 'Ranieri' 'Munoz' 'Paraguay' 'Paraguay'
 'Scientist, research (physical sciences)' 'Divorced' 'Masters holder' 41]"
24,customer,53365,"['M' 'Louis' 'Sanchez' 'Fiji' 'Fiji' 'Teacher, special educational needs'
 'Widow' 'High school' 78]"
25,customer,70649,"['F' 'Tiffany' 'Deschamps' 'Heard Island and McDonald Islands'
 'Heard Island and McDonald Islands' 'Exhibition designer' 'Single'
 'High school' 28]"
26,customer,24642,"['F' 'Diane' 'Palmer' 'Kuwait' 'Kuwait' 'Scientific laboratory technician'
 'Widow' 'Bachelor holder' 33]"
27,customer,16956,"['F' 'Rebecca' 'Verdier' 'French Southern Territories'
 'French Southern Territories' 'Software engineer' 'Single'
 'Bachelor holder' 92]"
28,customer,63453,"['M' 'Antonio' 'Mendès' 'Zambia' 'Zambia' 'Designer, jewellery' 'Divorced'
 'PHD holder' 15]"
29,customer,21156,"['M' 'Clifford' 'Sismondi' 'Trinidad and Tobago' 'Trinidad and Tobago'
 'Surveyor, commercial/residential' 'Single' 'Bachelor holder' 94]"
30,customer,38534,"['F' 'Emily' 'Vasari' 'Italy' 'United Kingdom' 'Ambulance person'
 'Married' 'Bachelor holder' 37]"
31,customer,40624,"['F' 'Alicia' 'Bachmann' 'Saint Lucia' 'Italy' 'Winzer' 'Married'
 'High school' 89]"
32,customer,19561,"['M' 'Denny' 'Cooke' 'Eritrea' 'Eritrea' 'Engineer, building services'
 'Single' 'PHD holder' 22]"
33,customer,88373,"['F' 'Kristi' 'Mathieu' 'Guam' 'Guam' 'Scientific laboratory technician'
 'Single' 'Masters holder' 88]"
34,customer,53519,"['M' 'Gary' 'Hawkins' 'Niue' 'Germany' 'Conservator, furniture' 'Widow'
 'Masters holder' 83]"
35,customer,41538,"['M' 'Joshua' 'Dobes' 'Aruba' 'Aruba' 'Phytotherapist' 'Married'
 'Bachelor holder' 43]"
36,customer,81331,"['M' 'Robert' 'Viviani' 'Slovenia' 'Slovenia' 'designer sonore' 'Married'
 'Masters holder' 84]"
37,customer,97225,"['M' 'Ermes' 'Green' 'Panama' 'Italy' 'Copywriter, advertising' 'Single'
 'PHD holder' 85]"
38,customer,28053,"['F' 'Natalia' 'Blümel' 'Micronesia, Federated States of' 'Italy'
 'Techniker' 'Married' 'Bachelor holder' 90]"
39,customer,18779,"['M' 'Daniel' 'Turner' 'United States' 'United States' 'Asphaltbauer'
 'Divorced' 'PHD holder' 50]"
40,customer,96892,"['F' 'Reinhild' 'Collin' 'Guatemala' 'Guatemala' 'Homeopath' 'Divorced'
 'Bachelor holder' 75]"
41,customer,64367,"['F' 'Amalia' 'Ayers' 'Bhutan' 'Germany' 'Sports development officer'
 'Single' 'Masters holder' 38]"
42,customer,66152,"['F' 'Irene' 'Jacobi Jäckel' 'Korea, Republic of' 'United Kingdom'
 'barman' 'Widow' 'Masters holder' 57]"
43,customer,95167,"['F' 'Dana' 'Ponti' 'Curaçao' 'Curaçao' 'Paramedic' 'Married' 'PHD holder'
 85]"
44,customer,25491,"['M' 'Laurent' 'Plath' 'Maldives' 'United States' 'Chirurgiemechaniker'
 'Widow' 'PHD holder' 65]"
45,customer,72090,"['F' 'Jennifer' 'Geißler' 'Norfolk Island' 'Italy' 'Technical brewer'
 'Married' 'Masters holder' 39]"
46,customer,69145,"['M' 'Craig' 'Rinaldi' 'Austria' 'Austria' 'technicien biologiste'
 'Married' 'Bachelor holder' 56]"
47,customer,15307,"['F' 'Henriette' 'Cameron' 'Greenland' 'Greenland' 'Schornsteinfeger'
 'Widow' 'High school' 65]"
48,customer,17040,"['F' 'Linda' 'Gros' 'Malawi' 'United States' 'Technical author' 'Divorced'
 'High school' 17]"
49,customer,39892,"['M' 'Grégoire' 'Pope' 'Macao' 'Macao' 'Bankkaufmann' 'Divorced'
 'Masters holder' 39]"
50,customer,11346,"['M' 'Mitchell' 'Wood' 'United Arab Emirates' 'United Kingdom'
 'contrôleur des douanes et droits indirects' 'Single' 'Bachelor holder'
 16]"
51,customer,78650,"['M' 'Mohamed' 'Giraud' 'Isle of Man' 'United States'
 'Runner, broadcasting/film/video' 'Divorced' 'PHD holder' 29]"
52,customer,87252,"['M' 'Robert' 'Fieramosca' 'Congo, The Democratic Republic of the'
 'Congo, The Democratic Republic of the' 'Risk manager' 'Widow'
 'Bachelor holder' 63]"
53,customer,24338,"['M' 'Sante' 'Gardiner' 'Madagascar' 'Madagascar' 'Polizist' 'Married'
 'PHD holder' 21]"
54,customer,18213,"['M' 'Friedo' 'Stey' 'Ecuador' 'United Kingdom' 'Chief Financial Officer'
 'Single' 'High school' 62]"
55,customer,91447,"['F' 'Monique' 'Yates' 'Tokelau' 'Tokelau'
 'Equality and diversity officer' 'Widow' 'Masters holder' 57]"
56,customer,18065,"['M' 'Otmar' 'Rose' 'Honduras' 'United Kingdom' 'cadreur' 'Divorced'
 'High school' 63]"
57,customer,85900,"['F' 'Olivia' 'Harris' 'Fiji' 'Fiji' 'Veterinary surgeon' 'Single'
 'Bachelor holder' 23]"
58,customer,70762,"['F' 'Sharon' 'Glover' 'Paraguay' 'France' 'traffic manager' 'Widow'
 'Bachelor holder' 71]"
59,customer,16771,"['F' 'Grace' 'Coates' 'Slovakia' 'Slovakia' 'Communications engineer'
 'Widow' 'PHD holder' 55]"
60,customer,24255,"['M' 'Ryan' 'Ortmann' 'Oman' 'France' 'Oceanographer' 'Widow'
 'Masters holder' 94]"
61,customer,87878,"['F' 'Maureen' 'Mitchell' 'Taiwan, Province of China'
 'Taiwan, Province of China'
 ""technicien de l'intervention sociale et familiale"" 'Widow'
 'Bachelor holder' 67]"
62,customer,79381,"['M' 'Nathan' 'Fabrizi' 'Belarus' 'Belarus' 'Product designer' 'Divorced'
 'High school' 45]"
63,customer,84885,"['M' 'Thibaut' 'Kraushaar' 'New Caledonia' 'New Caledonia' 'Pfleger'
 'Divorced' 'High school' 80]"
64,customer,91846,"['F' 'Paula' 'Gibson' 'Norway' 'Italy' 'Landscape architect' 'Divorced'
 'PHD holder' 52]"
65,customer,80020,"['F' 'Giovanna' 'Baker' 'Mayotte' 'United Kingdom'
 'Medical laboratory scientific officer' 'Married' 'Bachelor holder' 19]"
66,customer,63285,"['F' 'Susanna' 'Dippel' 'South Africa' 'Germany' 'Bäcker' 'Divorced'
 'Masters holder' 53]"
67,customer,29456,"['F' 'Cristina' 'Bell' 'France' 'France' 'vétérinaire' 'Married'
 'High school' 26]"
68,customer,36352,"['F' 'Karen' 'Roger' 'Eswatini' 'United States'
 'agent immobilier immobilière' 'Single' 'Masters holder' 18]"
69,customer,62831,"['F' 'Carolyn' 'Sansoni' 'Iran, Islamic Republic of'
 'Iran, Islamic Republic of' 'Metallurgist' 'Widow' 'High school' 50]"
70,customer,98678,"['M' 'Antoine' 'Schenk' 'Nauru' 'Nauru' 'Elektroniker' 'Single'
 'High school' 93]"
71,customer,63407,"['F' 'Olivie' 'Barnes' 'Guatemala' 'United Kingdom'
 'Hydrographic surveyor' 'Married' 'High school' 24]"
72,customer,99404,"['F' 'Jennifer' 'Luxardo' 'Kazakhstan' 'Kazakhstan'
 'Programme researcher, broadcasting/film/video' 'Single' 'Masters holder'
 58]"
