,Label,ID,Attributes
0,customer,33736,"{'gender': 'F', 'first_name': 'Nadia', 'last_name': 'Scheel', 'country': 'Cabo Verde', 'nationality': 'Cabo Verde', 'profession': 'Production assistant, television', 'marital_status': 'Single', 'education_level': 'PHD holder', 'age': 92}"
1,customer,42959,"{'gender': 'M', 'first_name': 'Eric', 'last_name': 'David', 'country': 'Dominica', 'nationality': 'Italy', 'profession': 'Scientist, clinical (histocompatibility and immunogenetics)', 'marital_status': 'Married', 'education_level': 'PHD holder', 'age': 39}"
2,customer,50653,"{'gender': 'F', 'first_name': 'Alessia', 'last_name': 'Villegas', 'country': 'Virgin Islands, British', 'nationality': 'Virgin Islands, British', 'profession': 'directeur de golf', 'marital_status': 'Divorced', 'education_level': 'PHD holder', 'age': 43}"
3,customer,82485,"{'gender': 'M', 'first_name': 'Alexei', 'last_name': 'Wulf', 'country': 'Samoa', 'nationality': 'Samoa', 'profession': 'Scientist, audiological', 'marital_status': 'Divorced', 'education_level': 'Bachelor holder', 'age': 54}"
4,customer,56609,"{'gender': 'F', 'first_name': 'Brenda', 'last_name': 'Fox', 'country': 'Poland', 'nationality': 'Poland', 'profession': 'actuaire', 'marital_status': 'Widow', 'education_level': 'Bachelor holder', 'age': 83}"
5,customer,45986,"{'gender': 'F', 'first_name': 'Evangelista', 'last_name': 'Campbell', 'country': 'United Kingdom', 'nationality': 'United Kingdom', 'profession': 'Seismic interpreter', 'marital_status': 'Widow', 'education_level': 'Masters holder', 'age': 81}"
6,customer,58600,"{'gender': 'M', 'first_name': 'Daniel', 'last_name': 'Young', 'country': 'Chile', 'nationality': 'Chile', 'profession': 'Education administrator', 'marital_status': 'Single', 'education_level': 'Bachelor holder', 'age': 23}"
7,customer,55976,"{'gender': 'F', 'first_name': 'Georgia', 'last_name': 'Valier', 'country': 'Poland', 'nationality': 'France', 'profession': 'Biomedical scientist', 'marital_status': 'Divorced', 'education_level': 'Masters holder', 'age': 63}"
8,customer,32433,"{'gender': 'M', 'first_name': 'Scott', 'last_name': 'Reid', 'country': 'Slovakia', 'nationality': 'Slovakia', 'profession': 'IT consultant', 'marital_status': 'Widow', 'education_level': 'PHD holder', 'age': 81}"
9,customer,14142,"{'gender': 'F', 'first_name': 'Sylwia', 'last_name': 'Ladeck', 'country': 'Lithuania', 'nationality': 'Lithuania', 'profession': 'Mechaniker', 'marital_status': 'Single', 'education_level': 'Bachelor holder', 'age': 50}"
10,customer,49539,"{'gender': 'F', 'first_name': 'Marta', 'last_name': 'Bradley', 'country': 'Tanzania, United Republic of', 'nationality': 'Tanzania, United Republic of', 'profession': 'Bankkaufmann', 'marital_status': 'Divorced', 'education_level': 'Bachelor holder', 'age': 75}"
11,customer,31548,"{'gender': 'M', 'first_name': 'Martin', 'last_name': 'Velasquez', 'country': 'Afghanistan', 'nationality': 'Afghanistan', 'profession': 'Advertising copywriter', 'marital_status': 'Widow', 'education_level': 'High school', 'age': 44}"
12,customer,22043,"{'gender': 'M', 'first_name': 'Matthew', 'last_name': 'Oderwald', 'country': 'Russian Federation', 'nationality': 'United States', 'profession': 'Maintenance engineer', 'marital_status': 'Married', 'education_level': 'Bachelor holder', 'age': 22}"
13,customer,44945,"{'gender': 'M', 'first_name': 'Thomas', 'last_name': 'Masse', 'country': 'Brazil', 'nationality': 'Germany', 'profession': 'Geneticist, molecular', 'marital_status': 'Divorced', 'education_level': 'PHD holder', 'age': 95}"
14,customer,14574,"{'gender': 'M', 'first_name': 'Jens-Uwe', 'last_name': 'Descamps', 'country': 'Hong Kong', 'nationality': 'United States', 'profession': 'Horticulturist, amenity', 'marital_status': 'Divorced', 'education_level': 'Bachelor holder', 'age': 63}"
15,customer,36708,"{'gender': 'M', 'first_name': 'Samuel', 'last_name': 'Drubin', 'country': 'Grenada', 'nationality': 'Germany', 'profession': 'Koreanistiker', 'marital_status': 'Widow', 'education_level': 'Masters holder', 'age': 19}"
16,customer,25357,"{'gender': 'F', 'first_name': 'Emma', 'last_name': 'Nicholson', 'country': 'Pitcairn', 'nationality': 'Germany', 'profession': 'Scientist, physiological', 'marital_status': 'Single', 'education_level': 'Bachelor holder', 'age': 93}"
17,customer,48071,"{'gender': 'F', 'first_name': 'Sheila', 'last_name': 'Baroffio', 'country': 'Sweden', 'nationality': 'Sweden', 'profession': 'Tourist information centre manager', 'marital_status': 'Single', 'education_level': 'Masters holder', 'age': 33}"
